Time,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,okcoin,others
2017-06-01 00:00:00 UTC,645492.56218224,336721.060650839,514542.7910829,390470.4768,602688.099850848,,716152.12162001,,509853.988999999,1196545.0180422044
2017-07-01 00:00:00 UTC,940068.545335881,460525.718035799,499543.7430141,351312.6894,475884.189109529,,670890.94368474,,434236.353999999,1295520.7810911252
2017-08-01 00:00:00 UTC,944432.310209301,405275.954822129,432611.22567565,499322.1617,486517.88812012,,544443.16735096,,588052.946999999,1097503.7437598559
2017-09-01 00:00:00 UTC,1490809.04507677,555816.737596388,603727.34935151,300596.9131,511527.28482364,,517220.389989629,,571515.550000001,1019955.7433001006
2017-10-01 00:00:00 UTC,1341105.25805507,648158.56157004,435538.78163626,,404975.707176769,,337791.17363039,,92787.4399999999,891741.9879588033
2017-11-01 00:00:00 UTC,2100417.39102696,737281.264963559,590921.670966909,,879739.31739271,,430374.9965188,,,1280663.921525634
2017-12-01 00:00:00 UTC,2211209.50251341,695088.972867325,715476.926365229,,1275295.52217232,,346981.09784531,,,1348806.7275414786
2018-01-01 00:00:00 UTC,1597840.08141045,532036.178122113,598395.21539793,,790262.270440697,,448727.23752921,,,1146083.7160613798
2018-02-01 00:00:00 UTC,1880057.39696712,818750.865131781,723672.98789349,,963166.134347175,,790505.165480869,,,1094801.6480236603
2018-03-01 00:00:00 UTC,1770752.21717423,713135.65571732,612296.522878169,,747471.259377658,,764518.369110659,,,999707.6974666129
2018-04-01 00:00:00 UTC,1256129.67892225,543239.627301566,445692.57860415,,481559.620051889,,445426.22244368,,,745479.6963588693
2018-05-01 00:00:00 UTC,813996.036749328,401562.995844545,359873.66775669,,334031.074398229,,299939.74762354,,,813336.5832720271
2018-06-01 00:00:00 UTC,701110.720707982,257089.210125238,281441.98651898,,276579.513714998,,276413.961270689,,,753032.6214189876
2018-07-01 00:00:00 UTC,785191.783292803,202119.289303777,279258.9498935,,307232.425543149,,256660.09400074,,,752790.3369920417
2018-08-01 00:00:00 UTC,906077.807762352,247562.608158797,288687.39116685,,354511.098026659,,300132.15734821,,,817643.8690971204
2018-09-01 00:00:00 UTC,650142.606538121,193351.103416119,204307.16764456,,268213.671712739,,232065.08819405,,,741213.3339745487
2018-10-01 00:00:00 UTC,411973.526357941,121697.69450261,157400.6701972,,200983.63102836,,168172.25799207,,,959939.8895995497
2018-11-01 00:00:00 UTC,948425.584421085,302909.119328478,413082.40547272,,553908.139078772,,464908.964409599,,,1448166.4815573657
2018-12-01 00:00:00 UTC,969513.860709384,352105.973292859,425935.34785079,,553280.225219559,,595691.051100169,,,1355125.5074708946
2019-01-01 00:00:00 UTC,433174.664702411,152379.9817006,259192.61910764,,345422.883868229,,337171.94425127,,,534259.3077356244
2019-02-01 00:00:00 UTC,372923.923323241,115412.06535102,238672.30944027,,300400.27247748,,265156.81397853,,,430618.3037419994
